RUN	appsellerTest.BasicSimulation	basicsimulation	1619641273421	 	3.3.1
USER	Scenario Name	1	START	1619641274983	1619641274983
REQUEST	1		listCountries	1619641275043	1619641275201	OK	 
USER	Scenario Name	2	START	1619641275989	1619641275989
REQUEST	2		listCountries	1619641275990	1619641276134	OK	 
USER	Scenario Name	3	START	1619641276993	1619641276993
REQUEST	3		listCountries	1619641276994	1619641277148	OK	 
USER	Scenario Name	4	START	1619641277972	1619641277972
REQUEST	4		listCountries	1619641277973	1619641278106	OK	 
REQUEST	1		Login	1619641282255	1619641282474	OK	 
USER	Scenario Name	1	END	1619641274983	1619641282487
REQUEST	2		Login	1619641283157	1619641283386	OK	 
USER	Scenario Name	2	END	1619641275989	1619641283388
REQUEST	3		Login	1619641284160	1619641284382	OK	 
USER	Scenario Name	3	END	1619641276993	1619641284385
REQUEST	4		Login	1619641285122	1619641285302	OK	 
USER	Scenario Name	4	END	1619641277972	1619641285304
